class_id,class_name,bbox,filename
126,Honda Odyssey Minivan 2012,"[38, 98, 590, 353]",cars_train/00524.jpg
50,Buick Enclave SUV 2012,"[20, 151, 596, 478]",cars_test/02857.jpg
183,Suzuki SX4 Hatchback 2012,"[36, 69, 615, 423]",cars_test/04832.jpg
146,Jeep Wrangler SUV 2012,"[303, 289, 818, 708]",cars_test/02074.jpg
191,Volkswagen Golf Hatchback 1991,"[48, 67, 621, 463]",cars_test/03341.jpg
65,Chevrolet Avalanche Crew Cab 2012,"[95, 183, 997, 673]",cars_test/07685.jpg
184,Suzuki SX4 Sedan 2012,"[36, 274, 944, 723]",cars_test/03286.jpg
27,BMW 1 Series Convertible 2012,"[8, 77, 500, 268]",cars_train/01663.jpg
126,Honda Odyssey Minivan 2012,"[66, 283, 919, 615]",cars_test/06527.jpg
155,Land Rover LR2 SUV 2012,"[20, 31, 364, 271]",cars_test/06927.jpg
57,Chevrolet Corvette Ron Fellows Edition Z06 2007,"[2, 8, 72, 55]",cars_test/02026.jpg
51,Cadillac CTS-V Sedan 2012,"[46, 98, 500, 281]",cars_test/05958.jpg
177,Rolls-Royce Phantom Sedan 2012,"[114, 36, 522, 411]",cars_test/02295.jpg
69,Chevrolet Silverado 2500HD Regular Cab 2012,"[40, 10, 241, 162]",cars_train/05269.jpg
17,Audi 100 Sedan 1994,"[19, 10, 428, 321]",cars_train/05594.jpg
77,Chrysler Sebring Convertible 2010,"[85, 138, 364, 259]",cars_test/01643.jpg
85,Dodge Caravan Minivan 1997,"[5, 21, 273, 126]",cars_train/01958.jpg
165,Mercedes-Benz S-Class Sedan 2012,"[122, 39, 564, 402]",cars_test/02260.jpg
8,Aston Martin V8 Vantage Convertible 2012,"[19, 52, 261, 150]",cars_train/01283.jpg
16,Audi V8 Sedan 1994,"[7, 66, 475, 321]",cars_train/03429.jpg
195,Volvo XC90 SUV 2007,"[8, 61, 456, 371]",cars_test/02127.jpg
72,Chevrolet Monte Carlo Coupe 2007,"[38, 284, 584, 463]",cars_test/02174.jpg
71,Chevrolet Express Van 2007,"[7, 104, 467, 281]",cars_test/01678.jpg
192,Volkswagen Beetle Hatchback 2012,"[193, 299, 905, 627]",cars_test/01662.jpg
182,Suzuki Kizashi Sedan 2012,"[183, 120, 776, 375]",cars_train/04119.jpg
37,BMW X3 SUV 2012,"[52, 59, 279, 189]",cars_test/02237.jpg
145,Jeep Patriot SUV 2012,"[45, 89, 988, 612]",cars_train/06855.jpg
14,Audi TTS Coupe 2012,"[16, 142, 384, 292]",cars_train/07423.jpg
155,Land Rover LR2 SUV 2012,"[26, 11, 269, 221]",cars_train/06874.jpg
130,Hyundai Veloster Hatchback 2012,"[28, 64, 452, 280]",cars_train/01504.jpg
122,GMC Canyon Extended Cab 2012,"[13, 66, 477, 228]",cars_test/02668.jpg
26,BMW ActiveHybrid 5 Sedan 2012,"[212, 191, 1076, 603]",cars_train/03821.jpg
81,Chrysler PT Cruiser Convertible 2008,"[80, 137, 944, 646]",cars_train/02981.jpg
79,Chrysler 300 SRT-8 2010,"[17, 48, 859, 396]",cars_train/04786.jpg
42,Bentley Continental GT Coupe 2012,"[120, 105, 528, 310]",cars_train/03335.jpg
180,Spyker C8 Coupe 2009,"[69, 233, 1251, 743]",cars_test/04158.jpg
150,Lamborghini Reventon Coupe 2008,"[33, 28, 865, 567]",cars_train/07531.jpg
143,Isuzu Ascender SUV 2008,"[166, 126, 729, 538]",cars_test/02598.jpg
46,Bugatti Veyron 16.4 Coupe 2009,"[108, 102, 307, 277]",cars_train/07635.jpg
101,Ferrari FF Coupe 2012,"[17, 114, 592, 366]",cars_test/06899.jpg
59,Chevrolet Camaro Convertible 2012,"[56, 63, 384, 295]",cars_test/05756.jpg
81,Chrysler PT Cruiser Convertible 2008,"[17, 41, 484, 265]",cars_train/05335.jpg
196,smart fortwo Convertible 2012,"[45, 88, 799, 573]",cars_train/04970.jpg
144,Jaguar XK XKR 2012,"[85, 130, 959, 640]",cars_test/03550.jpg
60,Chevrolet HHR SS 2010,"[11, 84, 253, 182]",cars_train/00997.jpg
97,Dodge Charger SRT-8 2009,"[27, 96, 532, 401]",cars_test/03187.jpg
171,Nissan 240SX Coupe 1998,"[4, 10, 388, 150]",cars_train/03812.jpg
196,smart fortwo Convertible 2012,"[19, 40, 210, 150]",cars_train/04361.jpg
38,BMW Z4 Convertible 2012,"[67, 31, 212, 147]",cars_train/03115.jpg
112,Ford GT Coupe 2006,"[55, 274, 708, 574]",cars_test/04512.jpg
43,Bentley Continental GT Coupe 2007,"[39, 24, 498, 242]",cars_train/01409.jpg
145,Jeep Patriot SUV 2012,"[66, 55, 974, 627]",cars_test/06590.jpg
10,Aston Martin Virage Convertible 2012,"[29, 21, 477, 299]",cars_train/00221.jpg
5,Acura TSX Sedan 2012,"[83, 95, 353, 280]",cars_test/03192.jpg
51,Cadillac CTS-V Sedan 2012,"[12, 52, 391, 231]",cars_train/07017.jpg
4,Acura TL Type-S 2008,"[13, 29, 795, 350]",cars_test/05358.jpg
19,Audi TT Hatchback 2011,"[149, 126, 902, 554]",cars_train/03057.jpg
196,smart fortwo Convertible 2012,"[157, 131, 1122, 880]",cars_test/07592.jpg
83,Dodge Caliber Wagon 2012,"[64, 103, 283, 201]",cars_test/07611.jpg
165,Mercedes-Benz S-Class Sedan 2012,"[46, 109, 492, 317]",cars_train/05031.jpg
100,FIAT 500 Convertible 2012,"[94, 31, 239, 162]",cars_test/06156.jpg
6,Acura Integra Type R 2001,"[530, 618, 1941, 1110]",cars_test/06852.jpg
9,Aston Martin V8 Vantage Coupe 2012,"[12, 58, 248, 150]",cars_train/06921.jpg
128,Honda Accord Coupe 2012,"[6, 165, 545, 360]",cars_train/03783.jpg
98,Eagle Talon Hatchback 1998,"[28, 67, 575, 327]",cars_test/05188.jpg
147,Jeep Liberty SUV 2012,"[23, 31, 790, 395]",cars_train/06700.jpg
127,Honda Odyssey Minivan 2007,"[3, 48, 250, 146]",cars_test/05046.jpg
105,Fisker Karma Sedan 2012,"[109, 118, 550, 304]",cars_train/06264.jpg
177,Rolls-Royce Phantom Sedan 2012,"[44, 83, 232, 176]",cars_test/03412.jpg
80,Chrysler Crossfire Convertible 2008,"[7, 59, 250, 188]",cars_test/05067.jpg
146,Jeep Wrangler SUV 2012,"[34, 17, 453, 359]",cars_train/05736.jpg
83,Dodge Caliber Wagon 2012,"[28, 73, 392, 247]",cars_test/07791.jpg
46,Bugatti Veyron 16.4 Coupe 2009,"[190, 167, 581, 383]",cars_train/05049.jpg
5,Acura TSX Sedan 2012,"[32, 49, 363, 222]",cars_train/04392.jpg
186,Toyota Sequoia SUV 2012,"[22, 51, 476, 283]",cars_test/07618.jpg
83,Dodge Caliber Wagon 2012,"[1, 24, 297, 190]",cars_train/04127.jpg
81,Chrysler PT Cruiser Convertible 2008,"[65, 22, 645, 365]",cars_test/03255.jpg
90,Dodge Dakota Crew Cab 2010,"[6, 8, 156, 119]",cars_test/00138.jpg
94,Dodge Durango SUV 2012,"[19, 89, 730, 444]",cars_train/04700.jpg
192,Volkswagen Beetle Hatchback 2012,"[71, 65, 579, 396]",cars_train/04128.jpg
117,Ford Fiesta Sedan 2012,"[36, 107, 986, 721]",cars_train/03225.jpg
5,Acura TSX Sedan 2012,"[24, 38, 246, 172]",cars_train/06296.jpg
131,Hyundai Santa Fe SUV 2012,"[20, 34, 253, 170]",cars_test/05149.jpg
63,Chevrolet Sonic Sedan 2012,"[188, 282, 1585, 1157]",cars_train/01827.jpg
20,Audi S6 Sedan 2011,"[96, 33, 687, 264]",cars_train/06954.jpg
21,Audi S5 Convertible 2012,"[67, 43, 573, 338]",cars_test/06293.jpg
171,Nissan 240SX Coupe 1998,"[25, 37, 577, 366]",cars_test/05368.jpg
191,Volkswagen Golf Hatchback 1991,"[24, 82, 465, 395]",cars_test/01341.jpg
66,Chevrolet Cobalt SS 2010,"[135, 208, 982, 617]",cars_train/07726.jpg
144,Jaguar XK XKR 2012,"[39, 57, 838, 528]",cars_train/05311.jpg
52,Cadillac SRX SUV 2012,"[78, 96, 509, 330]",cars_train/02811.jpg
167,Mitsubishi Lancer Sedan 2012,"[41, 95, 1017, 583]",cars_test/00334.jpg
126,Honda Odyssey Minivan 2012,"[215, 142, 994, 662]",cars_test/00206.jpg
97,Dodge Charger SRT-8 2009,"[1, 259, 1279, 812]",cars_test/05248.jpg
40,Bentley Arnage Sedan 2009,"[26, 45, 244, 155]",cars_test/04163.jpg
77,Chrysler Sebring Convertible 2010,"[66, 68, 1552, 981]",cars_train/04116.jpg
170,Nissan Juke Hatchback 2012,"[157, 167, 1078, 677]",cars_test/04861.jpg
157,MINI Cooper Roadster Convertible 2012,"[16, 28, 305, 224]",cars_train/02902.jpg
71,Chevrolet Express Van 2007,"[13, 55, 470, 306]",cars_test/04008.jpg
134,Hyundai Sonata Hybrid Sedan 2012,"[107, 131, 594, 351]",cars_test/01584.jpg
157,MINI Cooper Roadster Convertible 2012,"[15, 42, 119, 107]",cars_test/05833.jpg
40,Bentley Arnage Sedan 2009,"[26, 91, 292, 245]",cars_test/07207.jpg
132,Hyundai Tucson SUV 2012,"[84, 155, 890, 644]",cars_train/07287.jpg
68,Chevrolet TrailBlazer SS 2009,"[45, 217, 741, 499]",cars_train/06321.jpg
17,Audi 100 Sedan 1994,"[49, 99, 594, 397]",cars_train/04949.jpg
20,Audi S6 Sedan 2011,"[100, 145, 590, 308]",cars_train/06914.jpg
181,Suzuki Aerio Sedan 2007,"[6, 128, 515, 333]",cars_train/03991.jpg
125,HUMMER H2 SUT Crew Cab 2009,"[18, 38, 200, 128]",cars_train/03509.jpg
75,Chevrolet Silverado 1500 Regular Cab 2012,"[20, 146, 629, 384]",cars_train/08080.jpg
106,Ford F-450 Super Duty Crew Cab 2012,"[39, 55, 203, 164]",cars_train/07775.jpg
159,Mazda Tribute SUV 2011,"[32, 31, 776, 360]",cars_test/03487.jpg
116,Ford E-Series Wagon Van 2012,"[1, 45, 250, 145]",cars_train/05656.jpg
154,Land Rover Range Rover SUV 2012,"[83, 80, 508, 321]",cars_train/01474.jpg
91,Dodge Dakota Club Cab 2007,"[1, 15, 264, 172]",cars_test/06170.jpg
7,Acura ZDX Hatchback 2012,"[7, 41, 787, 431]",cars_train/02438.jpg
118,GMC Terrain SUV 2012,"[1, 28, 260, 132]",cars_train/03143.jpg
126,Honda Odyssey Minivan 2012,"[8, 95, 618, 388]",cars_train/06497.jpg
66,Chevrolet Cobalt SS 2010,"[92, 276, 732, 536]",cars_test/07631.jpg
59,Chevrolet Camaro Convertible 2012,"[26, 58, 587, 397]",cars_train/06567.jpg
92,Dodge Magnum Wagon 2008,"[64, 20, 344, 251]",cars_train/05384.jpg
173,Porsche Panamera Sedan 2012,"[295, 292, 1234, 892]",cars_train/07018.jpg
179,Spyker C8 Convertible 2009,"[20, 27, 577, 406]",cars_test/06838.jpg
129,Honda Accord Sedan 2012,"[37, 74, 756, 356]",cars_train/01025.jpg
179,Spyker C8 Convertible 2009,"[53, 115, 521, 302]",cars_test/01447.jpg
97,Dodge Charger SRT-8 2009,"[28, 105, 778, 535]",cars_train/04046.jpg
6,Acura Integra Type R 2001,"[147, 119, 1078, 596]",cars_train/05042.jpg
1,AM General Hummer SUV 2000,"[86, 81, 371, 252]",cars_train/06159.jpg
46,Bugatti Veyron 16.4 Coupe 2009,"[240, 594, 1355, 989]",cars_train/05556.jpg
125,HUMMER H2 SUT Crew Cab 2009,"[33, 73, 545, 377]",cars_train/04481.jpg
189,Toyota 4Runner SUV 2012,"[24, 43, 261, 207]",cars_test/01483.jpg
118,GMC Terrain SUV 2012,"[41, 60, 226, 165]",cars_train/01402.jpg
61,Chevrolet Impala Sedan 2007,"[48, 113, 582, 349]",cars_test/00882.jpg
64,Chevrolet Express Cargo Van 2007,"[75, 203, 1486, 1024]",cars_train/02609.jpg
73,Chevrolet Malibu Sedan 2007,"[73, 9, 573, 427]",cars_train/06178.jpg
196,smart fortwo Convertible 2012,"[17, 13, 197, 115]",cars_train/02392.jpg
132,Hyundai Tucson SUV 2012,"[32, 76, 612, 415]",cars_train/02769.jpg
156,Lincoln Town Car Sedan 2011,"[145, 87, 524, 375]",cars_train/05407.jpg
54,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,"[41, 60, 410, 295]",cars_train/06305.jpg
119,GMC Savana Van 2012,"[2, 22, 140, 81]",cars_train/00169.jpg
27,BMW 1 Series Convertible 2012,"[43, 181, 982, 727]",cars_test/05219.jpg
172,Plymouth Neon Coupe 1999,"[148, 105, 687, 498]",cars_train/05364.jpg
186,Toyota Sequoia SUV 2012,"[16, 69, 606, 323]",cars_train/03041.jpg
187,Toyota Camry Sedan 2012,"[96, 50, 679, 369]",cars_test/03835.jpg
14,Audi TTS Coupe 2012,"[29, 6, 271, 168]",cars_train/06600.jpg
76,Chrysler Aspen SUV 2009,"[1, 25, 275, 160]",cars_train/06146.jpg
117,Ford Fiesta Sedan 2012,"[49, 114, 577, 367]",cars_train/00811.jpg
155,Land Rover LR2 SUV 2012,"[30, 117, 615, 365]",cars_train/05917.jpg
178,Scion xD Hatchback 2012,"[15, 134, 626, 382]",cars_test/04099.jpg
170,Nissan Juke Hatchback 2012,"[1009, 313, 1934, 1023]",cars_train/05561.jpg
127,Honda Odyssey Minivan 2007,"[11, 60, 263, 183]",cars_train/01863.jpg
152,Lamborghini Gallardo LP 570-4 Superleggera 2012,"[64, 112, 447, 284]",cars_test/06768.jpg
6,Acura Integra Type R 2001,"[51, 117, 698, 399]",cars_test/07386.jpg
65,Chevrolet Avalanche Crew Cab 2012,"[13, 8, 255, 169]",cars_train/04653.jpg
112,Ford GT Coupe 2006,"[219, 263, 816, 586]",cars_test/02207.jpg
55,Chevrolet Corvette Convertible 2012,"[1, 167, 645, 445]",cars_train/04979.jpg
183,Suzuki SX4 Hatchback 2012,"[71, 82, 674, 420]",cars_test/03951.jpg
157,MINI Cooper Roadster Convertible 2012,"[70, 33, 561, 323]",cars_test/03696.jpg
88,Dodge Sprinter Cargo Van 2009,"[42, 116, 541, 331]",cars_test/00218.jpg
120,GMC Yukon Hybrid SUV 2012,"[45, 97, 422, 288]",cars_test/02084.jpg
37,BMW X3 SUV 2012,"[37, 153, 1011, 621]",cars_test/05996.jpg
189,Toyota 4Runner SUV 2012,"[21, 66, 605, 463]",cars_train/00409.jpg
126,Honda Odyssey Minivan 2012,"[102, 56, 702, 424]",cars_test/00988.jpg
138,Hyundai Sonata Sedan 2012,"[7, 26, 250, 122]",cars_train/02837.jpg
12,Audi RS 4 Convertible 2008,"[43, 37, 565, 337]",cars_test/05721.jpg
152,Lamborghini Gallardo LP 570-4 Superleggera 2012,"[1, 174, 798, 532]",cars_test/06040.jpg
152,Lamborghini Gallardo LP 570-4 Superleggera 2012,"[51, 115, 398, 300]",cars_test/05933.jpg
161,Mercedes-Benz 300-Class Convertible 1993,"[18, 84, 205, 167]",cars_train/05210.jpg
9,Aston Martin V8 Vantage Coupe 2012,"[13, 98, 287, 198]",cars_train/06683.jpg
88,Dodge Sprinter Cargo Van 2009,"[38, 6, 595, 476]",cars_train/00781.jpg
160,McLaren MP4-12C Coupe 2012,"[61, 78, 584, 312]",cars_test/07502.jpg
91,Dodge Dakota Club Cab 2007,"[8, 26, 253, 179]",cars_test/05700.jpg
61,Chevrolet Impala Sedan 2007,"[55, 61, 799, 445]",cars_train/00654.jpg
133,Hyundai Veracruz SUV 2012,"[57, 266, 967, 623]",cars_train/00105.jpg
25,Audi TT RS Coupe 2012,"[314, 235, 1383, 1002]",cars_train/02764.jpg
159,Mazda Tribute SUV 2011,"[22, 46, 305, 180]",cars_test/03113.jpg
146,Jeep Wrangler SUV 2012,"[37, 32, 337, 240]",cars_train/06908.jpg
72,Chevrolet Monte Carlo Coupe 2007,"[1, 130, 1001, 608]",cars_test/00238.jpg
93,Dodge Challenger SRT8 2011,"[37, 61, 471, 265]",cars_test/07682.jpg
17,Audi 100 Sedan 1994,"[35, 73, 372, 248]",cars_train/08010.jpg
15,Audi R8 Coupe 2012,"[172, 358, 1109, 834]",cars_train/04839.jpg
13,Audi A5 Coupe 2012,"[19, 143, 621, 427]",cars_test/01182.jpg
26,BMW ActiveHybrid 5 Sedan 2012,"[47, 195, 446, 341]",cars_test/05062.jpg
153,Lamborghini Diablo Coupe 2001,"[74, 224, 448, 368]",cars_train/04295.jpg
44,Bentley Continental Flying Spur Sedan 2007,"[41, 266, 963, 579]",cars_test/03445.jpg
29,BMW 3 Series Sedan 2012,"[31, 66, 619, 425]",cars_train/00664.jpg
152,Lamborghini Gallardo LP 570-4 Superleggera 2012,"[71, 158, 690, 341]",cars_train/00421.jpg
43,Bentley Continental GT Coupe 2007,"[43, 96, 561, 359]",cars_train/01002.jpg
53,Cadillac Escalade EXT Crew Cab 2007,"[12, 75, 627, 457]",cars_test/03547.jpg
117,Ford Fiesta Sedan 2012,"[69, 60, 603, 345]",cars_train/08126.jpg
22,Audi S5 Coupe 2012,"[37, 460, 1901, 1066]",cars_train/03226.jpg
39,Bentley Continental Supersports Conv. Convertible 2012,"[54, 97, 448, 278]",cars_train/06395.jpg
125,HUMMER H2 SUT Crew Cab 2009,"[2, 24, 700, 499]",cars_test/00554.jpg
93,Dodge Challenger SRT8 2011,"[31, 52, 573, 311]",cars_test/02704.jpg
62,Chevrolet Tahoe Hybrid SUV 2012,"[46, 118, 513, 312]",cars_test/05780.jpg
139,Hyundai Elantra Touring Hatchback 2012,"[40, 53, 332, 243]",cars_train/07620.jpg
104,Ferrari 458 Italia Coupe 2012,"[155, 73, 489, 238]",cars_train/01101.jpg
73,Chevrolet Malibu Sedan 2007,"[83, 43, 640, 480]",cars_test/05764.jpg
120,GMC Yukon Hybrid SUV 2012,"[65, 36, 446, 249]",cars_test/07698.jpg
43,Bentley Continental GT Coupe 2007,"[46, 132, 620, 386]",cars_train/03175.jpg
40,Bentley Arnage Sedan 2009,"[167, 54, 1066, 720]",cars_train/07154.jpg
51,Cadillac CTS-V Sedan 2012,"[3, 37, 191, 174]",cars_train/02969.jpg
168,Nissan Leaf Hatchback 2012,"[51, 120, 683, 378]",cars_train/01356.jpg
108,Ford Freestar Minivan 2007,"[12, 39, 237, 166]",cars_train/01998.jpg
38,BMW Z4 Convertible 2012,"[50, 90, 285, 234]",cars_test/03226.jpg
112,Ford GT Coupe 2006,"[37, 315, 1181, 727]",cars_train/01098.jpg
93,Dodge Challenger SRT8 2011,"[2, 79, 479, 359]",cars_train/01093.jpg
102,Ferrari California Convertible 2012,"[8, 107, 283, 208]",cars_test/04683.jpg
93,Dodge Challenger SRT8 2011,"[32, 91, 582, 360]",cars_test/00090.jpg
191,Volkswagen Golf Hatchback 1991,"[1, 15, 586, 480]",cars_train/03636.jpg
150,Lamborghini Reventon Coupe 2008,"[83, 54, 941, 588]",cars_train/07647.jpg
78,Chrysler Town and Country Minivan 2012,"[58, 179, 922, 504]",cars_test/01611.jpg
123,Geo Metro Convertible 1993,"[9, 9, 101, 61]",cars_test/03278.jpg
101,Ferrari FF Coupe 2012,"[22, 30, 625, 531]",cars_train/02177.jpg
189,Toyota 4Runner SUV 2012,"[33, 58, 242, 148]",cars_train/04479.jpg
43,Bentley Continental GT Coupe 2007,"[32, 73, 601, 343]",cars_test/04774.jpg
154,Land Rover Range Rover SUV 2012,"[85, 40, 523, 310]",cars_test/02416.jpg
196,smart fortwo Convertible 2012,"[5, 22, 204, 154]",cars_test/06028.jpg
169,Nissan NV Passenger Van 2012,"[15, 11, 508, 353]",cars_test/02444.jpg
3,Acura TL Sedan 2012,"[17, 52, 376, 289]",cars_test/03836.jpg
117,Ford Fiesta Sedan 2012,"[9, 48, 412, 285]",cars_test/07584.jpg
108,Ford Freestar Minivan 2007,"[15, 39, 199, 124]",cars_train/04342.jpg
34,BMW M3 Coupe 2012,"[3, 17, 275, 174]",cars_test/07900.jpg
140,Hyundai Azera Sedan 2012,"[78, 221, 1131, 747]",cars_train/05615.jpg
156,Lincoln Town Car Sedan 2011,"[10, 66, 264, 144]",cars_test/04919.jpg
179,Spyker C8 Convertible 2009,"[79, 8, 590, 426]",cars_test/00387.jpg
185,Tesla Model S Sedan 2012,"[21, 206, 605, 422]",cars_test/05800.jpg
97,Dodge Charger SRT-8 2009,"[247, 175, 1060, 758]",cars_test/04044.jpg
148,Jeep Grand Cherokee SUV 2012,"[113, 108, 412, 279]",cars_test/00657.jpg
112,Ford GT Coupe 2006,"[18, 154, 756, 426]",cars_train/06544.jpg
172,Plymouth Neon Coupe 1999,"[35, 27, 605, 429]",cars_train/07821.jpg
31,BMW 6 Series Convertible 2007,"[64, 143, 429, 359]",cars_test/06324.jpg
115,Ford Focus Sedan 2007,"[25, 44, 626, 420]",cars_train/06912.jpg
141,Infiniti G Coupe IPL 2012,"[42, 60, 265, 153]",cars_train/07063.jpg
18,Audi 100 Wagon 1994,"[12, 50, 196, 130]",cars_train/06291.jpg
30,BMW 3 Series Wagon 2012,"[22, 151, 467, 320]",cars_train/03010.jpg
107,Ford Mustang Convertible 2007,"[196, 343, 1384, 775]",cars_test/00515.jpg
152,Lamborghini Gallardo LP 570-4 Superleggera 2012,"[59, 217, 1833, 1218]",cars_test/01605.jpg
49,Buick Verano Sedan 2012,"[17, 29, 422, 202]",cars_test/00267.jpg
180,Spyker C8 Coupe 2009,"[61, 62, 403, 293]",cars_train/05954.jpg
187,Toyota Camry Sedan 2012,"[24, 78, 608, 379]",cars_train/00148.jpg
24,Audi S4 Sedan 2007,"[35, 102, 601, 386]",cars_test/03667.jpg
176,Rolls-Royce Ghost Sedan 2012,"[46, 69, 603, 411]",cars_test/04507.jpg
52,Cadillac SRX SUV 2012,"[22, 134, 426, 288]",cars_test/07680.jpg
112,Ford GT Coupe 2006,"[57, 354, 967, 635]",cars_train/06391.jpg
33,BMW X6 SUV 2012,"[519, 438, 1460, 1152]",cars_train/07678.jpg
47,Buick Regal GS 2012,"[36, 15, 477, 305]",cars_train/04870.jpg
78,Chrysler Town and Country Minivan 2012,"[36, 149, 1001, 623]",cars_test/02749.jpg
163,Mercedes-Benz SL-Class Coupe 2009,"[26, 246, 660, 449]",cars_train/08142.jpg
41,Bentley Mulsanne Sedan 2011,"[16, 9, 250, 165]",cars_test/05643.jpg
21,Audi S5 Convertible 2012,"[40, 244, 1144, 637]",cars_train/06230.jpg
4,Acura TL Type-S 2008,"[17, 127, 438, 274]",cars_test/04972.jpg
182,Suzuki Kizashi Sedan 2012,"[30, 85, 674, 416]",cars_test/02290.jpg
117,Ford Fiesta Sedan 2012,"[3, 1, 500, 192]",cars_test/06306.jpg
53,Cadillac Escalade EXT Crew Cab 2007,"[1, 51, 258, 172]",cars_train/01026.jpg
87,Dodge Ram Pickup 3500 Quad Cab 2009,"[48, 105, 639, 401]",cars_test/06431.jpg
38,BMW Z4 Convertible 2012,"[56, 33, 570, 343]",cars_test/05456.jpg
194,Volvo 240 Sedan 1993,"[41, 59, 785, 431]",cars_train/06560.jpg
117,Ford Fiesta Sedan 2012,"[36, 105, 453, 315]",cars_test/02904.jpg
73,Chevrolet Malibu Sedan 2007,"[1, 42, 298, 194]",cars_train/05781.jpg
194,Volvo 240 Sedan 1993,"[13, 88, 602, 393]",cars_test/04397.jpg
106,Ford F-450 Super Duty Crew Cab 2012,"[72, 199, 961, 744]",cars_train/02634.jpg
28,BMW 1 Series Coupe 2012,"[8, 29, 266, 172]",cars_train/05541.jpg
157,MINI Cooper Roadster Convertible 2012,"[48, 30, 179, 112]",cars_train/02817.jpg
48,Buick Rainier SUV 2007,"[5, 141, 388, 296]",cars_test/04606.jpg
142,Infiniti QX56 SUV 2011,"[6, 21, 318, 140]",cars_train/00652.jpg
23,Audi S4 Sedan 2012,"[27, 22, 240, 150]",cars_test/07967.jpg
172,Plymouth Neon Coupe 1999,"[13, 32, 785, 464]",cars_train/06365.jpg
160,McLaren MP4-12C Coupe 2012,"[14, 21, 782, 487]",cars_train/00390.jpg
148,Jeep Grand Cherokee SUV 2012,"[60, 44, 313, 206]",cars_train/03890.jpg
118,GMC Terrain SUV 2012,"[223, 259, 1414, 1057]",cars_test/02183.jpg
20,Audi S6 Sedan 2011,"[21, 105, 619, 372]",cars_train/01048.jpg
188,Toyota Corolla Sedan 2012,"[34, 88, 396, 274]",cars_train/05410.jpg
191,Volkswagen Golf Hatchback 1991,"[1, 163, 1597, 817]",cars_train/07779.jpg
146,Jeep Wrangler SUV 2012,"[81, 107, 448, 316]",cars_test/04570.jpg
